Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
15644,0.52,Ideal,I,VVS2,62.2,57.0,5.18,5.11,3.2,1316
12502,0.96,Very Good,H,SI1,63.1,58.0,6.2,6.25,3.93,4064
26822,1.01,Very Good,G,SI1,62.4,58.0,6.39,6.44,4.0,4653
19895,0.58,Very Good,J,SI1,62.1,57.0,5.35,5.41,3.34,1095
1668,0.78,Ideal,D,VS1,62.2,57.0,5.86,5.9,3.66,4350
6677,0.58,Very Good,G,SI2,59.5,59.0,5.41,5.45,3.23,1197
23097,0.31,Premium,I,SI1,60.1,59.0,4.41,4.38,2.64,537
24861,1.31,Premium,D,VVS1,62.8,55.0,7.01,6.95,4.38,17496
25709,0.3,Premium,D,SI1,62.0,60.0,4.26,4.29,2.65,552
1221,0.7,Good,D,SI2,63.6,62.0,5.61,5.55,3.55,2247
17680,0.8,Premium,F,SI1,60.1,58.0,6.07,6.05,3.64,3082
18556,2.01,Premium,E,SI2,62.6,58.0,8.01,7.93,4.99,14502
26275,1.7,Premium,G,VS2,59.0,58.0,7.85,7.8,4.62,15941
22998,0.72,Ideal,E,SI1,59.8,57.0,5.86,5.91,3.52,2265
16384,2.01,Very Good,F,SI2,60.8,57.0,8.09,8.15,4.94,17244
20527,0.7,Very Good,F,SI1,59.8,60.0,5.75,5.83,3.46,2196
8180,0.52,Very Good,G,VVS1,61.1,58.0,5.19,5.22,3.18,2113
16929,0.78,Ideal,E,VS2,62.0,55.0,5.89,5.95,3.67,3334
6054,0.4,Good,D,SI2,63.8,54.0,4.7,4.73,3.01,622
249,0.44,Good,E,VS2,59.0,64.0,5.01,4.94,2.93,1001
23328,0.34,Premium,D,SI1,62.4,58.0,4.42,4.46,2.77,626
26533,0.41,Premium,J,VVS1,62.2,59.0,4.75,4.71,2.94,994
16334,1.31,Premium,J,VS1,62.3,56.0,7.06,6.99,4.38,6236
21463,0.31,Ideal,E,VVS1,62.4,56.0,4.35,4.37,2.72,801
15352,1.29,Premium,G,VS1,62.4,58.0,6.89,6.86,4.29,9354
21552,0.35,Good,I,SI1,63.6,56.0,4.53,4.5,2.87,606
20896,0.41,Ideal,D,VS2,62.4,55.0,4.79,4.76,2.98,1076
25767,0.7,Very Good,E,SI1,63.2,61.0,5.61,5.49,3.51,2164
9999,1.27,Premium,J,VS1,62.6,59.0,6.88,6.92,4.32,5518
3183,0.3,Premium,E,SI1,59.8,60.0,4.31,4.35,2.59,526
25697,0.7,Good,E,SI2,63.9,59.0,5.68,5.56,3.59,1929
16861,1.01,Premium,E,VS2,,58.0,6.47,6.37,4.04,6335
20033,0.41,Premium,I,VVS1,61.5,59.0,4.81,4.75,2.94,1107
25477,1.01,Fair,H,VS1,66.1,55.0,6.28,6.24,4.14,4044
8784,0.3,Ideal,D,SI1,,56.0,4.37,4.35,2.66,709
12659,1.51,Fair,H,I1,65.6,61.0,7.16,7.0,4.66,3765
2682,0.31,Ideal,G,VS1,61.5,56.0,4.43,4.39,2.71,802
13011,0.39,Premium,F,SI1,60.1,59.0,4.77,4.74,2.86,823
19949,1.11,Ideal,H,VS2,64.0,58.0,6.52,6.46,4.16,5632
895,0.33,Ideal,G,IF,61.5,56.0,4.46,4.48,2.75,992
8716,2.01,Very Good,J,SI2,63.3,56.0,7.86,7.96,5.01,10490
3943,0.7,Good,E,SI1,63.8,57.0,5.59,5.63,3.58,2569
9788,0.34,Very Good,F,SI1,59.4,62.0,4.54,4.59,2.71,566
2264,0.7,Good,G,VS2,64.3,56.0,5.51,5.58,3.57,2488
21980,0.82,Ideal,F,SI1,61.7,56.0,6.01,6.06,3.72,3810
25705,0.33,Ideal,D,SI2,61.3,56.0,4.45,4.49,2.74,492
17905,1.5,Fair,H,SI2,66.0,64.0,7.1,6.97,4.64,5000
7212,0.39,Ideal,F,SI1,62.5,55.0,4.68,4.63,2.91,921
1171,1.06,Ideal,F,SI1,61.7,55.1,6.56,6.58,4.06,6249
11108,0.47,Very Good,E,VS2,62.6,57.0,4.92,4.95,3.09,1320
15225,0.9,Premium,H,VS2,61.3,59.0,6.24,6.19,3.81,4082
11817,0.31,Very Good,F,VS1,59.7,55.0,4.42,4.46,2.65,679
23906,0.78,Good,F,VS1,64.0,54.0,5.86,5.82,3.74,3163
11772,0.41,Ideal,D,VS1,61.0,57.0,4.78,4.82,2.93,1151
8104,0.56,Ideal,J,SI1,61.8,58.0,5.27,5.31,3.27,1119
590,0.5,Very Good,J,VS1,61.4,57.8,5.09,5.14,3.15,1034
12231,2.03,Premium,H,SI2,61.6,58.0,8.09,8.17,5.01,15930
17070,1.08,Ideal,H,SI2,62.0,57.0,6.65,6.55,4.06,3629
21811,0.38,Very Good,F,VS2,61.9,54.8,4.63,4.69,2.89,906
26877,0.7,Very Good,F,SI1,63.1,54.0,5.64,5.67,3.57,2278
22492,0.77,Very Good,G,VS2,62.8,59.0,5.81,5.84,3.66,3124
11807,1.09,Premium,G,VS1,62.5,59.0,6.57,6.54,4.1,6951
5020,0.55,Ideal,G,VS1,61.3,57.0,5.28,5.25,3.23,1792
8447,0.32,Ideal,F,VS2,62.5,56.0,4.38,4.36,2.73,828
1653,1.21,Ideal,H,VS2,62.6,54.8,6.78,6.84,4.26,7426
20386,1.09,Premium,I,VS2,60.1,59.0,6.74,6.67,4.03,5306
9820,0.47,Premium,G,VS2,61.0,59.0,5.03,5.0,3.06,1116
26386,1.04,Premium,F,VS2,61.7,59.0,6.45,6.49,3.99,6782
10066,0.52,Very Good,E,VS1,61.8,60.0,5.14,5.18,3.19,2021
22138,2.25,Ideal,H,SI1,62.4,56.0,8.4,8.37,5.23,14348
26891,0.42,Ideal,H,SI1,62.7,56.0,4.76,4.78,2.99,700
18344,1.42,Good,H,SI2,61.8,61.0,7.01,7.09,4.36,7437
13761,0.31,Ideal,F,VS2,61.3,57.0,4.34,4.3,2.65,802
19335,0.9,Ideal,F,SI2,61.9,56.0,6.19,6.24,3.85,3796
17977,0.7,Ideal,E,VS2,62.2,55.0,5.67,5.71,3.54,2981
5776,0.9,Premium,G,VS2,61.7,59.0,6.14,6.22,3.81,4269
24125,0.71,Ideal,I,VVS2,60.6,57.0,5.73,5.78,3.49,2463
2611,1.24,Ideal,J,SI2,60.1,57.0,7.02,6.98,4.21,4783
4397,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1047
6473,0.6,Very Good,D,VS1,61.4,59.0,5.41,5.44,3.33,2431
23094,1.01,Premium,G,SI2,59.1,59.0,6.55,6.51,3.86,4242
12721,2.1,Premium,J,VS2,58.3,54.0,8.49,8.45,4.94,12401
23778,0.36,Very Good,F,VS2,63.1,57.0,4.53,4.51,2.85,708
15369,0.32,Ideal,G,VS1,62.0,56.0,4.39,4.35,2.71,828
26520,0.44,Ideal,E,SI2,62.0,54.0,4.9,4.94,3.05,691
25284,0.63,Ideal,G,SI1,61.7,54.0,5.52,5.56,3.42,1628
26021,0.61,Ideal,G,VS1,61.5,56.0,5.48,5.5,3.38,2182
3125,0.54,Premium,G,VS2,61.0,60.0,5.24,5.18,3.18,1637
2566,1.2,Very Good,H,SI1,61.6,61.0,6.81,6.77,4.18,6350
13614,0.41,Ideal,E,VVS1,61.7,56.0,4.82,4.78,2.96,1431
4524,0.31,Ideal,D,SI1,62.6,56.0,4.33,4.36,2.72,571
12614,1.03,Ideal,E,VVS2,61.7,54.0,6.49,6.52,4.02,9932
3600,0.75,Fair,J,VS2,59.1,66.0,5.99,5.82,3.49,1944
4289,1.95,Very Good,H,SI1,62.9,58.0,7.86,7.94,4.97,14603
3864,0.32,Premium,I,VVS2,61.9,59.0,4.35,4.38,2.7,561
26612,1.11,Ideal,G,SI1,61.9,57.0,6.63,6.66,4.11,5408
23262,0.31,Premium,F,VS2,61.2,58.0,4.37,4.35,2.67,802
21849,0.73,Ideal,F,VVS2,61.7,54.0,5.76,5.82,3.57,3524
16650,1.5,Very Good,G,VS2,60.7,59.0,7.31,7.38,4.46,18691
1981,0.32,Ideal,D,VVS1,61.3,57.0,4.42,4.39,2.7,1140
19720,0.72,Ideal,H,IF,61.4,56.0,5.76,5.8,3.55,3257
23177,1.07,Ideal,E,SI2,62.2,55.0,6.54,6.58,4.08,5325
7670,0.41,Ideal,F,VVS2,61.7,56.0,4.81,4.78,2.96,1192
17833,0.56,Very Good,E,VVS2,62.6,57.0,5.25,5.23,3.28,2100
14421,0.59,Ideal,E,SI1,61.4,56.0,5.36,5.39,3.3,1664
18519,0.41,Ideal,E,VS1,60.9,57.0,4.76,4.79,2.91,1079
20900,1.5,Very Good,E,VS2,62.9,56.0,7.31,7.22,4.57,13892
17570,1.01,Premium,I,SI1,61.6,58.0,6.45,6.51,3.99,3944
25271,0.42,Premium,E,VS2,61.0,59.0,4.85,4.82,2.95,1024
14856,0.91,Very Good,I,VVS2,63.5,59.0,6.1,6.06,3.86,3618
7277,0.31,Premium,E,SI1,60.1,61.0,4.4,4.35,2.63,698
20221,0.6,Very Good,D,VS2,61.5,59.0,5.4,5.43,3.33,1984
9886,0.59,Premium,H,SI1,,58.0,5.42,5.35,3.36,1265
14619,1.57,Premium,J,VS1,61.3,59.0,7.44,7.47,4.57,8595
26573,0.32,Premium,H,VVS1,62.5,58.0,4.33,4.37,2.72,730
4773,0.91,Ideal,I,VS2,61.6,55.0,6.21,6.28,3.85,4317
1937,0.33,Good,F,SI1,61.8,62.0,4.4,4.45,2.74,536
22817,2.08,Premium,G,VS2,61.3,58.0,8.21,8.17,5.02,16854
25443,0.4,Premium,D,VVS2,60.7,60.0,4.74,4.78,2.89,1263
10502,0.56,Premium,H,VS1,60.1,58.0,5.4,5.35,3.23,1585
8927,1.01,Ideal,J,SI1,60.2,59.0,6.48,6.51,3.91,4194
24654,0.74,Ideal,G,VVS1,61.9,54.0,5.8,5.84,3.6,3402
11839,0.43,Very Good,E,SI1,63.2,57.0,4.84,4.78,3.04,948
14451,1.05,Premium,D,SI2,58.9,58.0,6.74,6.67,3.95,5134
2086,1.03,Ideal,F,VS1,62.3,57.0,6.45,6.52,4.04,8133
6886,1.07,Premium,I,I1,59.8,59.0,6.68,6.62,3.98,2260
19923,0.33,Ideal,D,SI1,61.9,55.0,4.45,4.47,2.76,736
23723,0.54,Premium,G,VS2,62.7,58.0,5.19,5.15,3.24,1637
6811,0.54,Very Good,D,SI1,62.1,56.0,5.22,5.25,3.25,1662
25757,0.55,Ideal,D,VS2,60.6,56.0,5.3,5.36,3.23,2224
18718,0.43,Very Good,E,VVS1,60.3,58.0,4.86,4.93,2.95,1433
22245,0.3,Ideal,G,VVS2,,57.0,4.29,4.26,2.68,878
13649,0.71,Ideal,F,SI2,61.2,55.0,5.77,5.79,3.54,2365
18538,0.72,Very Good,F,VVS2,63.6,59.0,5.65,5.7,3.61,3420
6543,0.4,Good,D,VS1,60.5,63.0,4.75,4.77,2.88,954
275,0.39,Ideal,G,VS2,62.5,54.0,4.67,4.7,2.93,857
18959,0.29,Ideal,E,VVS2,62.0,55.0,4.25,4.27,2.64,669
13728,1.66,Good,F,I1,62.1,57.7,7.56,7.6,4.71,6025
19285,1.29,Premium,I,VS2,62.2,57.0,7.01,6.97,4.35,6279
13378,0.79,Ideal,H,SI1,61.4,56.0,5.93,5.96,3.65,3167
23728,0.7,Good,F,VS2,62.9,58.0,5.61,5.65,3.54,2362
12392,2.06,Premium,G,SI1,61.5,58.0,8.2,8.15,5.03,18439
19618,0.59,Good,I,VS2,63.4,56.0,5.33,5.37,3.39,1294
5312,0.52,Ideal,D,SI1,63.0,57.0,5.14,5.12,3.23,1605
12605,0.91,Ideal,F,VS2,62.8,57.0,6.18,6.2,3.89,5214
4829,1.53,Ideal,I,SI1,61.9,54.0,7.43,7.5,1.53,8971
23190,0.74,Premium,G,VS2,60.2,60.0,5.84,5.82,3.51,2621
26181,1.18,Very Good,E,VVS2,61.5,58.0,6.78,6.87,4.2,12100
13938,1.0,Ideal,H,SI1,60.3,56.0,6.54,6.52,3.94,4788
3070,0.7,Very Good,E,VS2,58.9,60.0,5.83,5.85,3.44,2845
21894,0.81,Very Good,H,VS1,62.2,57.0,5.91,5.94,3.69,3314
1204,0.42,Premium,F,IF,62.2,56.0,4.85,4.8,3.0,1389
16193,1.01,Ideal,G,VS1,61.2,57.0,6.47,6.41,3.94,6618
21343,1.51,Ideal,H,VS1,62.5,54.0,7.28,7.34,4.57,12071
6786,0.53,Premium,D,SI1,61.6,59.0,5.2,5.16,3.19,1753
7401,1.57,Premium,F,SI1,60.4,59.0,7.57,7.54,4.56,12112
18076,0.24,Ideal,F,VS1,62.0,56.0,3.99,3.94,2.46,536
11395,0.31,Premium,E,VVS2,61.9,58.0,4.35,4.38,2.7,816
24088,0.63,Ideal,D,VS2,61.5,54.0,5.54,5.58,3.42,2013
5997,1.73,Premium,G,VS2,62.9,58.0,7.65,7.58,4.79,16960
1880,1.23,Ideal,E,VVS2,59.9,57.0,6.95,7.03,4.19,13034
2806,1.47,Fair,H,I1,,59.0,6.98,6.94,4.64,4898
8349,0.7,Fair,H,VS2,67.8,56.0,5.42,5.38,3.66,2351
24035,0.32,Ideal,D,VS2,62.7,57.0,4.44,4.4,2.77,972
1913,2.02,Fair,H,SI1,66.3,57.0,7.71,7.79,5.14,13502
24779,0.4,Ideal,E,VS1,61.2,57.0,4.77,4.74,2.91,1125
9494,1.5,Good,H,VS2,61.2,61.0,7.25,7.32,4.46,10291
21560,1.24,Premium,H,VS2,61.7,59.0,6.91,6.84,4.24,6962
793,1.52,Premium,F,VS2,60.9,61.0,7.46,7.28,4.49,13919
6567,1.06,Very Good,F,VS2,62.7,55.0,6.54,6.5,4.09,6627
11704,0.46,Ideal,F,SI2,62.1,54.7,4.95,4.98,3.08,851
9823,0.31,Ideal,H,VVS2,61.8,56.0,4.36,4.34,2.69,802
16158,0.31,Very Good,G,VS2,63.2,58.0,4.3,4.28,2.71,651
3728,0.78,Very Good,G,VS2,62.6,58.0,5.81,5.89,3.66,3113
11443,1.5,Very Good,H,VVS2,62.9,59.0,7.26,7.31,4.58,11748
5655,1.5,Premium,E,VS2,61.8,59.0,7.31,7.38,4.54,14790
15080,0.71,Ideal,D,SI2,61.0,56.0,5.77,5.8,3.53,2505
26621,0.73,Ideal,G,VVS2,62.1,56.0,5.78,5.81,3.59,3396
25885,1.1,Good,G,SI2,60.5,61.0,6.69,6.74,4.06,4457
3522,0.7,Ideal,E,VS2,62.2,55.0,5.64,5.67,3.52,3172
4427,0.51,Ideal,D,VS2,61.4,57.0,5.13,5.16,3.16,1716
982,1.01,Ideal,D,SI2,61.6,57.0,6.42,6.46,3.97,4916
10297,0.23,Ideal,G,VVS1,60.8,57.0,3.96,3.99,2.41,536
3008,0.3,Ideal,E,IF,62.2,55.0,4.32,4.36,2.7,957
14231,0.53,Ideal,F,SI2,61.7,56.0,5.23,5.24,3.23,1142
20177,0.5,Very Good,E,SI1,63.3,59.0,5.03,4.99,3.17,1415
6957,0.3,Ideal,H,IF,62.2,54.0,4.34,4.37,2.71,764
13023,0.72,Ideal,F,VS2,61.8,56.0,5.72,5.74,3.54,3564
25325,0.72,Good,H,SI2,64.1,58.0,5.65,5.68,3.63,1674
3171,1.21,Very Good,I,SI1,62.1,56.0,6.76,6.92,4.25,5324
6694,0.76,Premium,D,SI2,58.8,57.0,6.03,5.98,3.51,2706
2661,0.71,Ideal,D,SI1,62.3,56.0,5.72,5.7,3.56,3316
22666,1.01,Very Good,D,VVS2,63.6,59.0,6.25,6.32,4.0,9451
6243,1.17,Good,I,SI1,63.6,61.0,6.66,6.64,4.23,4914
7653,0.3,Premium,F,VVS1,,59.0,4.26,4.29,2.64,868
3260,0.69,Ideal,G,SI1,62.4,56.0,5.66,5.69,3.55,2297
15591,0.4,Very Good,F,VS2,63.6,56.0,4.66,4.68,2.97,867
19533,0.32,Premium,E,VS2,60.5,58.0,4.44,4.48,2.7,702
6512,0.55,Premium,D,VVS2,58.7,57.0,5.44,5.39,3.18,2331
22598,2.05,Premium,H,SI2,62.5,58.0,8.12,8.08,5.06,16431
12711,0.4,Premium,D,SI2,61.9,58.0,4.71,4.73,2.92,666
8454,0.9,Good,D,SI2,63.8,58.0,6.09,6.13,3.9,3806
3079,0.33,Premium,G,VVS1,62.8,59.0,4.44,4.38,2.77,1114
6738,0.7,Premium,D,SI2,59.5,60.0,5.78,5.73,3.43,2423
2085,0.3,Ideal,G,VS1,61.8,55.0,4.31,4.33,2.67,605
17804,0.3,Ideal,E,VS2,61.2,55.0,4.31,4.35,2.65,658
19199,0.41,Ideal,E,VS1,61.8,55.0,4.75,4.8,2.95,1079
19549,0.53,Ideal,D,VS2,61.4,56.0,5.23,5.2,3.2,1956
24417,0.34,Good,H,VS2,63.7,57.0,4.44,4.42,2.82,689
6652,0.53,Premium,E,SI2,59.9,58.0,5.31,5.27,3.17,984
2211,2.44,Very Good,J,SI1,62.9,53.0,8.58,8.62,5.41,17472
23327,0.38,Very Good,G,SI1,62.0,54.8,4.64,4.67,2.89,755
7178,0.34,Ideal,G,VS2,61.7,56.0,4.53,4.48,2.78,765
11441,0.23,Very Good,E,VVS2,61.1,62.0,3.92,3.94,2.4,485
22542,2.15,Ideal,I,SI2,61.7,55.0,8.43,8.24,5.14,14519
7530,2.31,Premium,J,VS1,62.3,61.0,8.55,8.43,5.29,17451
4275,0.31,Ideal,F,VS2,62.3,55.0,4.38,4.35,2.72,802
6493,0.33,Ideal,E,VVS1,61.6,55.0,4.44,4.46,2.74,1130
10925,0.31,Very Good,G,SI1,61.7,55.0,4.37,4.38,2.7,462
22403,0.76,Premium,E,VS2,63.0,59.0,5.79,5.76,3.64,3107
18364,0.46,Ideal,D,VS2,62.7,57.0,4.93,4.89,3.08,1388
5889,0.39,Ideal,E,VS2,60.4,56.0,4.73,4.7,2.85,985
302,0.33,Ideal,E,VS1,61.1,56.0,4.45,4.48,2.73,850
22107,0.87,Very Good,D,SI1,60.2,60.0,6.12,6.17,3.7,3664
963,0.9,Fair,J,VS2,65.0,56.0,6.08,6.04,3.94,2815
22186,1.23,Very Good,E,VVS2,60.4,62.0,6.88,6.93,4.17,11175
23365,1.51,Very Good,H,VVS2,63.1,56.0,7.33,7.28,4.61,9332
5399,0.5,Ideal,E,VS2,62.2,54.0,5.08,5.11,3.17,1624
15574,0.31,Ideal,D,VVS2,62.4,56.0,4.38,4.34,2.72,982
13370,1.16,Ideal,D,VS2,62.1,57.0,6.73,6.7,4.17,8185
9879,1.0,Premium,F,VVS2,59.9,60.0,6.46,6.5,3.88,8448
4118,1.62,Premium,H,SI1,62.2,58.0,7.5,7.46,4.65,11455
23832,1.08,Ideal,H,SI2,61.2,57.4,6.57,6.63,4.04,4564
6975,0.71,Ideal,G,SI1,61.9,56.0,5.73,5.76,3.55,3007
21284,0.7,Good,F,SI2,64.1,58.0,5.58,5.53,3.56,1792
719,0.73,Ideal,J,SI1,62.0,56.0,5.74,5.78,3.57,1902
22691,0.3,Good,F,VS1,63.7,56.0,4.26,4.28,2.72,570
5213,2.0,Good,D,SI2,64.1,57.0,7.91,7.82,5.04,17094
7658,0.7,Premium,F,VS2,61.7,58.0,5.69,5.63,3.49,2838
7731,0.32,Ideal,E,VVS1,61.6,56.0,4.42,4.41,2.72,1020
21697,0.51,Good,D,VS2,63.7,57.0,5.05,5.0,3.2,1665
18622,0.67,Good,D,SI1,63.8,57.0,5.53,5.48,3.51,2258
13604,1.1,Very Good,G,SI1,59.4,58.0,6.72,6.79,4.01,4997
18064,1.22,Good,H,SI2,,56.0,6.84,6.77,4.32,6250
1205,0.41,Ideal,I,VS1,61.8,53.0,4.81,4.84,2.98,753
4793,0.71,Very Good,E,VS1,62.1,57.0,5.67,5.69,3.53,3009
19164,1.5,Fair,H,SI1,65.9,56.0,7.11,7.04,4.66,7211
7396,1.52,Very Good,G,VS1,62.1,57.0,7.27,7.32,4.53,12968
22741,1.02,Fair,F,SI1,64.8,59.0,6.33,6.23,4.07,5255
7936,0.9,Very Good,F,SI2,60.3,63.0,6.28,6.21,3.77,3630
4169,1.0,Good,F,SI1,58.1,64.0,6.56,6.6,3.82,4608
23378,0.4,Fair,G,SI1,59.9,67.0,4.81,4.77,2.87,960
21488,0.56,Ideal,E,SI1,61.6,56.0,5.29,5.33,3.27,1691
21033,2.02,Premium,J,SI2,62.7,60.0,7.98,8.1,5.04,11463
10528,0.44,Very Good,J,VVS2,63.6,58.0,4.8,4.83,3.06,834
19547,0.84,Premium,E,VS1,59.7,59.0,6.16,6.13,3.67,4318
6563,0.31,Ideal,E,VVS1,62.1,55.0,4.34,4.36,2.7,853
22865,0.31,Ideal,H,VS1,61.7,57.0,4.38,4.34,2.69,698
10182,0.57,Ideal,F,VS2,60.8,57.0,5.34,5.37,3.25,1869
22469,0.59,Premium,D,VS1,61.9,58.0,5.37,5.32,3.31,2326
22861,0.91,Very Good,D,SI2,62.3,57.0,6.14,6.22,3.85,3848
10035,1.21,Ideal,H,SI2,61.1,56.0,6.92,6.87,4.21,6098
11909,0.81,Very Good,I,VS2,62.6,59.7,5.86,5.92,3.69,2444
5243,2.11,Ideal,I,VS1,61.9,57.0,8.28,8.22,5.11,16723
25239,0.7,Ideal,E,VS1,62.3,54.0,5.67,5.72,3.55,2930
24423,0.25,Very Good,H,VVS1,60.1,62.0,4.08,4.11,2.46,450
1007,0.26,Very Good,E,VVS2,62.6,58.0,4.07,4.11,2.56,597
24980,1.01,Ideal,F,SI2,60.5,57.0,6.53,6.49,3.94,4497
7451,0.4,Very Good,J,VS1,62.1,57.0,4.69,4.72,2.92,606
4451,0.44,Good,E,SI1,63.2,53.0,4.84,4.87,3.07,756
432,0.51,Good,D,SI2,63.9,55.0,5.1,5.04,3.24,1268
3998,0.32,Premium,G,VS1,62.4,58.0,4.4,4.35,2.73,828
17998,0.35,Ideal,D,VS1,60.8,57.0,4.61,4.57,2.79,952
18594,0.38,Ideal,H,VVS1,60.7,55.0,4.71,4.74,2.87,1219
25399,0.83,Premium,E,SI1,60.7,58.0,6.06,6.09,3.69,3482
12801,0.4,Ideal,F,VVS2,61.7,56.0,4.72,4.74,2.92,1088
23811,0.26,Very Good,E,VVS1,62.9,58.0,4.06,4.08,2.56,599
2696,1.24,Very Good,I,VS2,60.1,59.0,6.95,7.02,4.2,5783
14757,2.02,Premium,I,SI2,62.9,60.0,8.05,8.01,5.05,13991
18516,0.32,Ideal,D,VVS2,61.2,56.0,4.39,4.43,2.7,803
6723,1.01,Very Good,G,SI2,60.8,63.0,6.4,6.36,3.88,3577
2280,0.4,Premium,F,VS2,62.6,58.0,4.72,4.68,2.94,1080
15128,0.27,Ideal,D,VVS1,62.2,56.0,4.15,4.12,2.57,799
14748,0.7,Ideal,F,VS1,62.2,56.0,5.73,5.68,3.55,2792
2290,1.2,Very Good,H,SI2,63.5,57.0,6.67,6.71,4.25,5221
1523,1.28,Ideal,G,VS2,62.2,57.0,6.99,6.94,4.33,8774
8354,0.53,Very Good,D,VVS2,60.5,57.0,5.23,5.31,3.19,2542
7071,0.33,Ideal,E,VS2,,56.0,4.4,4.45,2.75,723
20954,0.35,Ideal,D,VS2,61.3,56.0,4.56,4.54,2.79,1063
21722,1.02,Premium,D,VS1,61.3,58.0,6.52,6.47,3.98,8181
15190,1.22,Ideal,E,SI2,62.7,57.0,6.84,6.81,4.28,6343
